fam,pid,addr,size,lvl,id,lbl,def,unit,min_max,descr,fmt,rw,opt
sys,0.1.8,2816,2,Expert,66,Observation period for errors detection,60,s,"[5,600]",Observation period for errors detection.,int,R/W,-
sys,0.1.8,2832,2,Expert,74,Inertial smoothing strength,2,,"[0.1,20]","Strength of inertial smoothing feature (smoothing of transient current of genset, used to improve stability of genset during transients).",float,R/W,-
sys,0.1.8,2834,2,ViewOnly,75,Status,AtLeastOnePhaseDisabled,,-,Contains the current status of the 3phase inverter. Several values are possible simultaneously.,bitfield,R,0.1.8.enum3
sys,0.1.8,2834,2,ViewOnly,76,Phase existance,0x07,,,Indicates which phase(s) is(are) used for inverters / AC-Loads,bitfield,R,0.1.8.enum4
,,,,,,,,,,,,,
sys,0.1.9,3000,2,ViewOnly,0,Status,0,,,,enum,R,0.1.9.enum0
sys,0.1.9,3002,2,ViewOnly,0,Warnings,0,,,,bitfield,R,0.1.9.enum1
sys,0.1.9,3004,2,ViewOnly,0,Cause of error,0,,,,bitfield,R,0.1.9.enum2
,,,,,,,,,,,,,
sys,0.1.10,3300,2,ViewOnly,0,Status,0,,,,enum,R,0.1.10.enum0
sys,0.1.10,3302,2,ViewOnly,0,Warnings,0,,,,bitfield,R,0.1.10.enum1
sys,0.1.10,3304,2,ViewOnly,0,Cause of error,0,,,,bitfield,R,0.1.10.enum2
,,,,,,,,,,,,,
sys,0.1.11,3300,2,ViewOnly,0,Status,0,,,,enum,R,0.1.11.enum0
sys,0.1.11,3302,2,ViewOnly,0,Warnings,0,,,,bitfield,R,0.1.11.enum1
sys,0.1.11,3304,2,ViewOnly,0,Cause of error,0,,,,bitfield,R,0.1.11.enum2
,,,,,,,,,,,,,
sys,0.1.12,3900,2,ViewOnly,0,Frequency,0,Hz,-,Frequency measured.,float,R,-
sys,0.1.12,3902,2,ViewOnly,4,Line voltage L1-L2,0,V,-,Line voltage L1-L2 measured.,float,R,-
sys,0.1.12,3904,2,ViewOnly,8,Line voltage L2-L3,0,V,-,Line voltage L2-L3 measured.,float,R,-
sys,0.1.12,3906,2,ViewOnly,12,Line voltage L3-L1,0,V,-,Line voltage L3-L1 measured.,float,R,-
sys,0.1.12,3908,2,ViewOnly,16,Total active power,0,W,-,Total active power measured.,float,R,-
sys,0.1.12,3910,2,ViewOnly,20,Total apparent power,0,VA,-,Total apparent power measured.,float,R,-
sys,0.1.12,3912,2,ViewOnly,24,Angle L2 relative to L1,0,degree,-,Angle L2 relative to L1 measured.,float,R,-
sys,0.1.12,3914,2,ViewOnly,25,Angle L3 relative to L1,0,degree,-,Angle L3 relative to L1 measured.,float,R,-
sys,0.1.12,3916,2,ViewOnly,26,Day consumed energy,0,Wh,-,Consumed energy of the current day.,float,R,-
sys,0.1.12,3918,2,ViewOnly,27,Previous day consumed energy,0,Wh,-,Consumed energy of the previous day.,float,R,-
sys,0.1.12,3920,4,ViewOnly,28,Resetable consumed energy,0,Wh,-,Resetable consumed energy.,float64,R/W,-
sys,0.1.12,3924,4,ViewOnly,29,Total consumed energy,0,Wh,-,Total consumed energy.,float64,R,-
sys,0.1.12,3928,2,ViewOnly,30,Day produced energy,0,Wh,-,Produced energy of the current day.,float,R,-
sys,0.1.12,3930,2,ViewOnly,31,Previous day produced energy,0,Wh,-,Produced energy of the previous day.,float,R,-
sys,0.1.12,3932,4,ViewOnly,32,Resetable produced energy,0,Wh,-,Resetable produced energy.,float64,R/W,-
sys,0.1.12,3936,4,ViewOnly,33,Total produced energy,0,Wh,-,Total produced energy.,float64,R,-
sys,0.1.12,3940,2,ViewOnly,34,Day runtime,0,h,-,Day runtime measured.,float,R,-
sys,0.1.12,3942,2,ViewOnly,35,Total runtime,0,h,-,Total runtime measured.,float,R,-
sys,0.1.12,3944,2,ViewOnly,36,Day peak power,0,VA,-,Peak power of the current day.,float,R,-
sys,0.1.12,3946,2,ViewOnly,37,Previous day peak power,0,VA,-,Peak power of the previous day.,float,R,-
sys,0.1.12,3948,2,ViewOnly,38,Day minimum active power,0,W,-,Minimum active power of the current day.,float,R,-
sys,0.1.12,3950,2,ViewOnly,39,Previous day minimum active power,0,W,-,Minimum active power of the previous day.,float,R,-
sys,0.1.12,3952,2,ViewOnly,40,Day maximum active power,0,W,-,Maximum active power of the current day.,float,R,-
sys,0.1.12,3954,2,ViewOnly,41,Previous day maximum active power,0,W,-,Maximum active power of the previous day.,float,R,-
sys,0.1.12,3956,2,ViewOnly,42,Produced active power,0,W,-,Produced active power measured.,float,R,-
sys,0.1.12,3958,2,ViewOnly,44,Consumed active power,0,W,-,Consumed active power measured.,float,R,-
,,,,,,,,,,,,,
sys,0.1.13,4200,2,ViewOnly,0,Phase voltage,0,V,-,Phase voltage RMS measured.,float,R,-
sys,0.1.13,4202,2,ViewOnly,4,Current,0,A,-,Current RMS measured.,float,R,-
sys,0.1.13,4204,2,ViewOnly,8,Active power,0,W,-,Active power measured.,float,R,-
sys,0.1.13,4206,2,ViewOnly,12,Reactive power,0,VAR,-,Reactive power measured.,float,R,-
sys,0.1.13,4208,2,ViewOnly,16,Apparent power,0,VA,-,Apparent power measured.,float,R,-
sys,0.1.13,4210,2,ViewOnly,20,Power factor,0,,-,Power factor measured.,float,R,-
sys,0.1.13,4212,2,ViewOnly,24,Day peak power,0,VA,-,Peak power of the current day.,float,R,-
sys,0.1.13,4214,2,ViewOnly,25,Previous day peak power,0,VA,-,Peak power of the previous day.,float,R,-
sys,0.1.13,4216,2,ViewOnly,26,Day minimum active power,0,W,-,Minimum active power of the current day.,float,R,-
sys,0.1.13,4218,2,ViewOnly,27,Previous day minimum active power,0,W,-,Minimum active power of the previous day.,float,R,-
sys,0.1.13,4220,2,ViewOnly,28,Day maximum active power,0,W,-,Maximum active power of the current day.,float,R,-
sys,0.1.13,4222,2,ViewOnly,29,Previous day maximum active power,0,W,-,Maximum active power of the previous day.,float,R,-
sys,0.1.13,4228,2,ViewOnly,32,Day consumed energy,0,Wh,-,Consumed energy of the current day.,float,R,-
sys,0.1.13,4230,2,ViewOnly,33,Previous day consumed energy,0,Wh,-,Consumed energy of the previous day.,float,R,-
sys,0.1.13,4232,4,ViewOnly,34,Resetable consumed energy,0,Wh,-,Resetable consumed energy.,float64,R/W,-
sys,0.1.13,4236,4,ViewOnly,35,Total consumed energy,0,Wh,-,Total consumed energy.,float64,R,-
sys,0.1.13,4240,2,ViewOnly,36,Day produced energy,0,Wh,-,Produced energy of the current day.,float,R,-
sys,0.1.13,4242,2,ViewOnly,37,Previous day produced energy,0,Wh,-,Produced energy of the previous day.,float,R,-
sys,0.1.13,4244,4,ViewOnly,38,Resetable produced energy,0,Wh,-,Resetable produced energy.,float64,R/W,-
sys,0.1.13,4248,4,ViewOnly,39,Total produced energy,0,Wh,-,Total produced energy.,float64,R,-
,,,,,,,,,,,,,
sys,0.1.14,4500,2,ViewOnly,0,Phase voltage,0,V,-,Phase voltage RMS measured.,float,R,-
sys,0.1.14,4502,2,ViewOnly,4,Current,0,A,-,Current RMS measured.,float,R,-
sys,0.1.14,4504,2,ViewOnly,8,Active power,0,W,-,Active power measured.,float,R,-
sys,0.1.14,4506,2,ViewOnly,12,Reactive power,0,VAR,-,Reactive power measured.,float,R,-
sys,0.1.14,4508,2,ViewOnly,16,Apparent power,0,VA,-,Apparent power measured.,float,R,-
sys,0.1.14,4510,2,ViewOnly,20,Power factor,0,,-,Power factor measured.,float,R,-
sys,0.1.14,4512,2,ViewOnly,24,Day peak power,0,VA,-,Peak power of the current day.,float,R,-
sys,0.1.14,4514,2,ViewOnly,25,Previous day peak power,0,VA,-,Peak power of the previous day.,float,R,-
sys,0.1.14,4516,2,ViewOnly,26,Day minimum active power,0,W,-,Minimum active power of the current day.,float,R,-
sys,0.1.14,4518,2,ViewOnly,27,Previous day minimum active power,0,W,-,Minimum active power of the previous day.,float,R,-
sys,0.1.14,4520,2,ViewOnly,28,Day maximum active power,0,W,-,Maximum active power of the current day.,float,R,-
sys,0.1.14,4522,2,ViewOnly,29,Previous day maximum active power,0,W,-,Maximum active power of the previous day.,float,R,-
sys,0.1.14,4528,2,ViewOnly,32,Day consumed energy,0,Wh,-,Consumed energy of the current day.,float,R,-
sys,0.1.14,4530,2,ViewOnly,33,Previous day consumed energy,0,Wh,-,Consumed energy of the previous day.,float,R,-
sys,0.1.14,4532,4,ViewOnly,34,Resetable consumed energy,0,Wh,-,Resetable consumed energy.,float64,R/W,-
sys,0.1.14,4536,4,ViewOnly,35,Total consumed energy,0,Wh,-,Total consumed energy.,float64,R,-
sys,0.1.14,4540,2,ViewOnly,36,Day produced energy,0,Wh,-,Produced energy of the current day.,float,R,-
sys,0.1.14,4542,2,ViewOnly,37,Previous day produced energy,0,Wh,-,Produced energy of the previous day.,float,R,-
sys,0.1.14,4544,4,ViewOnly,38,Resetable produced energy,0,Wh,-,Resetable produced energy.,float64,R/W,-
sys,0.1.14,4548,4,ViewOnly,39,Total produced energy,0,Wh,-,Total produced energy.,float64,R,-
,,,,,,,,,,,,,
sys,0.1.15,4800,2,ViewOnly,0,Phase voltage,0,V,-,Phase voltage RMS measured.,float,R,-
sys,0.1.15,4802,2,ViewOnly,4,Current,0,A,-,Current RMS measured.,float,R,-
sys,0.1.15,4804,2,ViewOnly,8,Active power,0,W,-,Active power measured.,float,R,-
sys,0.1.15,4806,2,ViewOnly,12,Reactive power,0,VAR,-,Reactive power measured.,float,R,-
sys,0.1.15,4808,2,ViewOnly,16,Apparent power,0,VA,-,Apparent power measured.,float,R,-
sys,0.1.15,4810,2,ViewOnly,20,Power factor,0,,-,Power factor measured.,float,R,-
sys,0.1.15,4812,2,ViewOnly,24,Day peak power,0,VA,-,Peak power of the current day.,float,R,-
sys,0.1.15,4814,2,ViewOnly,25,Previous day peak power,0,VA,-,Peak power of the previous day.,float,R,-
sys,0.1.15,4816,2,ViewOnly,26,Day minimum active power,0,W,-,Minimum active power of the current day.,float,R,-
sys,0.1.15,4818,2,ViewOnly,27,Previous day minimum active power,0,W,-,Minimum active power of the previous day.,float,R,-
sys,0.1.15,4820,2,ViewOnly,28,Day maximum active power,0,W,-,Maximum active power of the current day.,float,R,-
sys,0.1.15,4822,2,ViewOnly,29,Previous day maximum active power,0,W,-,Maximum active power of the previous day.,float,R,-
sys,0.1.15,4828,2,ViewOnly,32,Day consumed energy,0,Wh,-,Consumed energy of the current day.,float,R,-
sys,0.1.15,4830,2,ViewOnly,33,Previous day consumed energy,0,Wh,-,Consumed energy of the previous day.,float,R,-
sys,0.1.15,4832,4,ViewOnly,34,Resetable consumed energy,0,Wh,-,Resetable consumed energy.,float64,R/W,-
sys,0.1.15,4836,4,ViewOnly,35,Total consumed energy,0,Wh,-,Total consumed energy.,float64,R,-
sys,0.1.15,4840,2,ViewOnly,36,Day produced energy,0,Wh,-,Produced energy of the current day.,float,R,-
sys,0.1.15,4842,2,ViewOnly,37,Previous day produced energy,0,Wh,-,Produced energy of the previous day.,float,R,-
sys,0.1.15,4844,4,ViewOnly,38,Resetable produced energy,0,Wh,-,Resetable produced energy.,float64,R/W,-
sys,0.1.15,4848,4,ViewOnly,39,Total produced energy,0,Wh,-,Total produced energy.,float64,R,-
,,,,,,,,,,,,,
sys,0.1.16,5100,2,ViewOnly,0,Frequency,0,Hz,-,Frequency measured.,float,R,-
sys,0.1.16,5102,2,ViewOnly,4,Line voltage L1-L2,0,V,-,Line voltage L1-L2 measured.,float,R,-
sys,0.1.16,5104,2,ViewOnly,8,Line voltage L2-L3,0,V,-,Line voltage L2-L3 measured.,float,R,-
sys,0.1.16,5106,2,ViewOnly,12,Line voltage L3-L1,0,V,-,Line voltage L3-L1 measured.,float,R,-
sys,0.1.16,5108,2,ViewOnly,16,Total active power,0,W,-,Total active power measured.,float,R,-
sys,0.1.16,5110,2,ViewOnly,20,Total apparent power,0,VA,-,Total apparent power measured.,float,R,-
sys,0.1.16,5112,2,ViewOnly,24,Angle L2 relative to L1,0,degree,-,Angle L2 relative to L1 measured.,float,R,-
sys,0.1.16,5114,2,ViewOnly,25,Angle L3 relative to L1,0,degree,-,Angle L3 relative to L1 measured.,float,R,-
sys,0.1.16,5116,2,ViewOnly,26,Day consumed energy,0,Wh,-,Consumed energy of the current day.,float,R,-
sys,0.1.16,5118,2,ViewOnly,27,Previous day consumed energy,0,Wh,-,Consumed energy of the previous day.,float,R,-
